Domain,Is_Homoglyph,Base_Skeleton,Targeted_Brand_Detected,Substitutions_Identified,Techniques
vviki.com,YES,wiki.com,None,vv (U+0076 U+0076) -> w,Composite (ASCII)
binance.com,NO,binance.com,BINANCE,None,None
coinbase.com,NO,coinbase.com,COINBASE,None,None
instagram.com,NO,instagram.com,INSTAGRAM,None,None
telegram.org,NO,telegram.org,TELEGRAM,None,None
microsoft.com,NO,microsoft.com,MICROSOFT,None,None
netflix.com,NO,netflix.com,NETFLIX,None,None
gmail.com,NO,gmail.com,GMAIL,None,None
yahoo.com,NO,yahoo.com,YAHOO,None,None
youtube.com,NO,youtube.com,YOUTUBE,None,None
usps.com,NO,usps.com,USPS,None,None
facebook.com,NO,facebook.com,FACEBOOK,None,None
wikipedia.org,NO,wikipedia.org,WIKIPEDIA,None,None
tiktok.com,NO,tiktok.com,TIKTOK,None,None
clown.com,YES,down.com,None,cl (U+0063 U+006C) -> d,Composite (ASCII)
block-sales.com,YES,bbck-sales.com,None,lo (U+006C U+006F) -> b,Composite (ASCII)
arkhamintellîgence.com,YES,arkhamintelligence.com,None,None,None
bınance.com,YES,binance.com,BINANCE,ı (U+0131) -> i,Single-Character (Twin)
paypaɩ.com,YES,paypa.com,None,None,None
coınbase.com,YES,coinbase.com,COINBASE,ı (U+0131) -> i,Single-Character (Twin)
ınstagram.com,YES,instagram.com,INSTAGRAM,ı (U+0131) -> i,Single-Character (Twin)
telegrаm.org,YES,telegram.org,TELEGRAM,а (U+0430) -> a,Single-Character
micrоsoft.com,YES,microsoft.com,MICROSOFT,о (U+043E) -> o,Single-Character
spоtify.com,YES,spotify.com,None,о (U+043E) -> o,Single-Character
netflıx.com,YES,netflix.com,NETFLIX,ı (U+0131) -> i,Single-Character (Twin)
tiktoḳ.com,YES,tiktok.com,TIKTOK,None,None
ģmail.com,YES,gmail.com,GMAIL,None,None
gmàil.com,YES,gmail.com,GMAIL,None,None
gmaiĺ.com,YES,gmail.com,GMAIL,None,None
yàhoo.com,YES,yahoo.com,YAHOO,None,None
youtubê.com,YES,youtube.com,YOUTUBE,None,None
expansión.com,YES,expansion.com,None,None,None
döviz.com,YES,doviz.com,None,ö (U+00F6) -> o,Single-Character (Twin)
ģmail.com,YES,gmail.com,GMAIL,None,None
gmàil.com,YES,gmail.com,GMAIL,None,None
gmaiĺ.com,YES,gmail.com,GMAIL,None,None
yàhoo.com,YES,yahoo.com,YAHOO,None,None
youtubê.com,YES,youtube.com,YOUTUBE,None,None
perú.com,YES,peru.com,None,None,None
shädbase.com,YES,shadbase.com,None,ä (U+00E4) -> a,Single-Character (Twin)
expansión.com,YES,expansion.com,None,None,None
